,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,33.0,0.32758647203445435,"[(1, 0.038471486), (2, 0.0596836), (3, 0.056129895), (14, 0.051443405), (15, 0.32678083), (20, 0.0524261), (33, 0.32758647), (35, 0.079769865)]"
1,1,28.0,0.7178407311439514,"[(9, 0.03323538), (15, 0.049252618), (20, 0.017508512), (22, 0.17122185), (28, 0.71784073)]"
2,2,15.0,0.4713902175426483,"[(1, 0.022612575), (2, 0.035804525), (3, 0.14028923), (15, 0.47139022), (25, 0.16899239), (30, 0.044527933), (36, 0.07653998), (37, 0.026018372)]"
3,3,35.0,0.4241446852684021,"[(3, 0.27277452), (5, 0.029136976), (6, 0.11141785), (21, 0.06722521), (24, 0.036101248), (35, 0.4241447), (37, 0.05050276)]"
4,4,21.0,0.29499417543411255,"[(1, 0.07459365), (2, 0.05179138), (5, 0.04093776), (9, 0.047344167), (11, 0.040492352), (21, 0.29499418), (25, 0.10577407), (27, 0.03179263), (36, 0.29378957)]"
5,5,18.0,0.6200942397117615,"[(2, 0.07105201), (6, 0.12163647), (10, 0.018632475), (18, 0.62009424), (22, 0.02498907), (27, 0.12812765)]"
6,6,18.0,0.4978719651699066,"[(2, 0.023480099), (5, 0.24869451), (18, 0.49787197), (33, 0.17696603), (34, 0.032128923)]"
7,7,2.0,0.3322909474372864,"[(2, 0.33229095), (5, 0.05533181), (13, 0.13983466), (23, 0.24923588), (26, 0.043807473), (33, 0.08146547), (34, 0.087585256)]"
8,8,36.0,0.5944337248802185,"[(2, 0.15948397), (12, 0.14399189), (13, 0.06338693), (33, 0.030815551), (36, 0.5944337)]"
9,9,17.0,0.5245378613471985,"[(13, 0.0374873), (15, 0.010239619), (17, 0.52453786), (18, 0.04554247), (25, 0.10803534), (27, 0.04153791), (36, 0.14001957), (39, 0.08561674)]"
10,10,36.0,0.6357630491256714,"[(3, 0.1332535), (8, 0.04852806), (13, 0.03402227), (17, 0.047124073), (28, 0.032083496), (36, 0.63576305), (37, 0.036834326), (38, 0.020619424)]"
11,11,17.0,0.551422655582428,"[(1, 0.1981648), (17, 0.55142266), (28, 0.11021098), (32, 0.052476328), (35, 0.055293415)]"
12,12,24.0,0.43818408250808716,"[(7, 0.032595094), (10, 0.043833267), (12, 0.07054731), (23, 0.025313932), (24, 0.43818408), (36, 0.25886694), (38, 0.12070708)]"
13,13,36.0,0.5182068347930908,"[(0, 0.029308785), (1, 0.14644733), (4, 0.020613125), (24, 0.25717816), (36, 0.51820683)]"
14,14,9.0,0.5271406769752502,"[(1, 0.06704018), (9, 0.5271407), (11, 0.1814776), (14, 0.08874454), (39, 0.11423252)]"
15,15,30.0,0.5630623698234558,"[(6, 0.08286801), (11, 0.07311203), (15, 0.15242384), (21, 0.09350583), (30, 0.56306237)]"
16,16,1.0,0.5870457291603088,"[(1, 0.5870457), (3, 0.18278657), (20, 0.022778565), (34, 0.046219435), (37, 0.14079583)]"
17,17,1.0,0.5380699634552002,"[(0, 0.056400787), (1, 0.53806996), (7, 0.033153303), (9, 0.041686065), (11, 0.059801545), (12, 0.083898075), (17, 0.093385056), (31, 0.07136627)]"
18,18,34.0,0.6319980025291443,"[(7, 0.078942806), (13, 0.035018206), (17, 0.015510387), (30, 0.01988362), (34, 0.631998), (36, 0.060106434), (37, 0.017355718), (39, 0.12827453)]"
19,19,18.0,0.35472747683525085,"[(2, 0.024355873), (3, 0.078102656), (4, 0.082318656), (9, 0.035653803), (12, 0.20203108), (13, 0.09146402), (18, 0.35472748), (24, 0.07819103), (32, 0.039541762)]"
20,20,21.0,0.4047359228134155,"[(3, 0.021036513), (8, 0.17528768), (17, 0.021636756), (20, 0.050504893), (21, 0.40473592), (30, 0.24830489), (35, 0.064258404)]"
21,21,33.0,0.38077300786972046,"[(4, 0.1515261), (9, 0.10730726), (23, 0.2978318), (25, 0.047445208), (33, 0.380773)]"
22,22,20.0,0.26185277104377747,"[(2, 0.1682755), (4, 0.057744022), (5, 0.052352194), (20, 0.26185277), (22, 0.059676707), (23, 0.15630712), (26, 0.074345894), (27, 0.07709349), (36, 0.08213985)]"
23,23,14.0,0.5718799233436584,"[(14, 0.5718799), (22, 0.038239088), (25, 0.07105017), (26, 0.06250436), (33, 0.030267678), (34, 0.083042935), (35, 0.07330024), (37, 0.0537029)]"
24,24,7.0,0.5450507998466492,"[(5, 0.05188562), (6, 0.18194924), (7, 0.5450508), (8, 0.06871503), (15, 0.052581675), (24, 0.0255641), (39, 0.06192179)]"
25,25,25.0,0.5046472549438477,"[(8, 0.027810888), (12, 0.128386), (16, 0.042510595), (25, 0.50464725), (30, 0.027932027), (36, 0.24846746)]"
26,26,22.0,0.3978322446346283,"[(1, 0.07970289), (3, 0.040523797), (8, 0.0556626), (16, 0.020656401), (18, 0.06003454), (22, 0.39783224), (26, 0.01895922), (31, 0.10087487), (34, 0.16362415), (35, 0.04821443)]"
27,27,22.0,0.5253761410713196,"[(10, 0.09579029), (12, 0.10431293), (13, 0.07328643), (22, 0.52537614), (26, 0.061771873), (36, 0.119661205)]"
28,28,1.0,0.4588128626346588,"[(0, 0.10345838), (1, 0.45881286), (16, 0.08044931), (17, 0.19464992), (31, 0.14126487)]"
29,29,20.0,0.5598451495170593,"[(8, 0.029875975), (12, 0.11914863), (20, 0.55984515), (23, 0.2116834), (26, 0.019287206), (33, 0.043142747)]"
30,30,36.0,0.45462897419929504,"[(14, 0.26873505), (21, 0.08301964), (23, 0.038843405), (25, 0.08676033), (27, 0.051644538), (36, 0.45462897)]"
