,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30
0,0.0002828939468599856,0.08452414721250534,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.2165892869234085,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.07095951586961746,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.0967111885547638,0.0002828939468599856,0.08714740723371506,0.0002828939468599856,0.05935822054743767,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.0002828939468599856,0.1175423264503479,0.0002828939468599856,0.1985471546649933,0.0626799687743187,0.0002828939468599856,0.0002828939468599856
1,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.8197402358055115,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.023219183087348938,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.0003673203755170107,0.14712287485599518
2,0.1332831233739853,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.548014223575592,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.08552610129117966,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.13230255246162415,0.00045737859909422696,0.00045737859909422696,0.04409445449709892,0.00045737859909422696,0.04580240696668625,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696,0.00045737859909422696
3,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.0510350726544857,0.019603237509727478,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.1364913135766983,0.000355302297975868,0.017166566103696823,0.000355302297975868,0.6147292256355286,0.043208833783864975,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.000355302297975868,0.04851335287094116,0.06143578514456749,0.000355302297975868,0.000355302297975868,0.000355302297975868
4,0.0005866382853128016,0.08120562136173248,0.0005866382853128016,0.0005866382853128016,0.06412866711616516,0.0005866382853128016,0.0005866382853128016,0.13311834633350372,0.0005866382853128016,0.051669467240571976,0.0005866382853128016,0.0005866382853128016,0.1847555786371231,0.08812021464109421,0.0005866382853128016,0.0005866382853128016,0.026512395590543747,0.0005866382853128016,0.0005866382853128016,0.0005866382853128016,0.1054188460111618,0.0005866382853128016,0.141244038939476,0.0005866382853128016,0.0005866382853128016,0.0005866382853128016,0.11209405213594437,0.0005866382853128016,0.0005866382853128016,0.0005866382853128016
5,0.0005213215481489897,0.11284881830215454,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.03414557874202728,0.0005213215481489897,0.0005213215481489897,0.03508679196238518,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.8043644428253174,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897,0.0005213215481489897
6,0.03055393509566784,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.6706368327140808,0.000565394526347518,0.000565394526347518,0.15177008509635925,0.000565394526347518,0.000565394526347518,0.09686829894781113,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.03603595495223999,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518,0.000565394526347518
7,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.07111764699220657,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.02731587551534176,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906,0.8919885158538818,0.0003547385276760906,0.0003547385276760906,0.0003547385276760906
8,0.00024182995548471808,0.5440937876701355,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.0663672536611557,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.25509050488471985,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.047025084495544434,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808,0.08137757331132889,0.00024182995548471808,0.00024182995548471808,0.00024182995548471808
9,0.0002547136100474745,0.019996413961052895,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.6257463693618774,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745,0.19898711144924164,0.0002547136100474745,0.14864760637283325,0.0002547136100474745,0.0002547136100474745,0.0002547136100474745
