,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,39.0,0.317584365606308,"[(3, 0.12491959), (6, 0.120029025), (14, 0.058087017), (20, 0.0645647), (29, 0.032139994), (34, 0.1913676), (35, 0.033295114), (39, 0.31758437), (42, 0.050309595)]"
1,1,28.0,0.9064472317695618,"[(9, 0.04968767), (20, 0.032191962), (28, 0.90644723)]"
2,2,15.0,0.41189518570899963,"[(3, 0.032719944), (4, 0.171497), (9, 0.11590976), (15, 0.4118952), (24, 0.10004205), (28, 0.15296198)]"
3,3,35.0,0.5895837545394897,"[(3, 0.25028622), (8, 0.03750767), (17, 0.03351821), (27, 0.03867888), (35, 0.58958375), (39, 0.041296322)]"
4,4,22.0,0.7546822428703308,"[(11, 0.023895394), (17, 0.14278428), (22, 0.75468224), (39, 0.05692202)]"
5,5,41.0,0.2530238628387451,"[(4, 0.11854974), (5, 0.1508763), (6, 0.124702565), (17, 0.11470635), (23, 0.079947025), (30, 0.1104539), (33, 0.03270972), (41, 0.25302386)]"
6,6,18.0,0.428555965423584,"[(2, 0.034079667), (18, 0.42855597), (33, 0.42109397), (34, 0.09456623)]"
7,7,34.0,0.5492714643478394,"[(7, 0.01647572), (10, 0.04341962), (34, 0.54927146), (38, 0.013529767), (41, 0.3660418)]"
8,8,36.0,0.5503132343292236,"[(10, 0.021388546), (12, 0.080552295), (18, 0.07265433), (29, 0.030574547), (36, 0.55031323), (41, 0.23669966)]"
9,9,41.0,0.6111823320388794,"[(6, 0.020874923), (17, 0.13708408), (18, 0.05496931), (36, 0.023922056), (39, 0.1444231), (41, 0.61118233)]"
10,10,17.0,0.444847047328949,"[(5, 0.04725398), (8, 0.048481427), (11, 0.04237367), (14, 0.0911371), (17, 0.44484705), (23, 0.047746588), (30, 0.060614944), (36, 0.08461793), (41, 0.12115141)]"
11,11,17.0,0.21339942514896393,"[(1, 0.08879058), (17, 0.21339943), (27, 0.072878875), (28, 0.09006877), (30, 0.08478731), (35, 0.11489013), (36, 0.20680664), (39, 0.09790313)]"
12,12,42.0,0.5271814465522766,"[(3, 0.026464196), (14, 0.021090904), (22, 0.07626116), (27, 0.015786126), (33, 0.08768442), (38, 0.18136738), (39, 0.054244887), (42, 0.52718145)]"
13,13,39.0,0.2904433310031891,"[(15, 0.05585376), (18, 0.26310208), (34, 0.12428829), (39, 0.29044333), (42, 0.23761028)]"
14,14,9.0,0.6446115374565125,"[(9, 0.64461154), (11, 0.111861214), (30, 0.12869179), (38, 0.092590876)]"
15,15,3.0,0.6407247185707092,"[(3, 0.6407247), (18, 0.062016703), (26, 0.09674468), (36, 0.078466654), (41, 0.08645795)]"
16,16,13.0,0.3150978684425354,"[(7, 0.29535165), (13, 0.31509787), (16, 0.13878082), (17, 0.16314448), (23, 0.06690224)]"
17,17,17.0,0.23442280292510986,"[(9, 0.094749235), (12, 0.101638265), (14, 0.060833592), (16, 0.15098211), (17, 0.2344228), (21, 0.22481635), (37, 0.036315653), (44, 0.07339068)]"
18,18,34.0,0.7533727884292603,"[(20, 0.03369493), (30, 0.05978438), (34, 0.7533728), (41, 0.08499946), (43, 0.053801507)]"
19,19,27.0,0.3756634294986725,"[(5, 0.036506902), (24, 0.13060004), (27, 0.37566343), (32, 0.09231784), (35, 0.060774367), (39, 0.0947384), (40, 0.11584438), (41, 0.07910192)]"
20,20,21.0,0.6701061129570007,"[(8, 0.018378044), (12, 0.08512446), (20, 0.03871328), (21, 0.6701061), (30, 0.048212357), (39, 0.08489262), (40, 0.040006246)]"
21,21,36.0,0.20561793446540833,"[(0, 0.10954583), (2, 0.015307954), (11, 0.060064316), (12, 0.15042853), (17, 0.1322337), (24, 0.16952212), (25, 0.14307976), (36, 0.20561793)]"
22,22,20.0,0.21963143348693848,"[(7, 0.1346575), (13, 0.05977786), (14, 0.16004314), (20, 0.21963145), (22, 0.048572723), (29, 0.08182932), (30, 0.11909825), (34, 0.16555613)]"
23,23,14.0,0.6240218281745911,"[(1, 0.09494685), (7, 0.031567607), (14, 0.6240218), (18, 0.07699273), (30, 0.043323383), (35, 0.034207534), (39, 0.030646384), (44, 0.047837332)]"
24,24,7.0,0.5501664280891418,"[(6, 0.096629016), (7, 0.5501664), (24, 0.019774878), (27, 0.030381504), (39, 0.28975558)]"
25,25,27.0,0.5842544436454773,"[(5, 0.02942542), (22, 0.044259306), (27, 0.58425444), (33, 0.12975432), (36, 0.19113022)]"
26,26,44.0,0.6475932002067566,"[(1, 0.0599148), (6, 0.035182904), (8, 0.048441406), (14, 0.027504446), (24, 0.13539088), (37, 0.030316668), (44, 0.6475932)]"
27,27,27.0,0.26926714181900024,"[(11, 0.12757663), (15, 0.05125437), (22, 0.14550364), (27, 0.26926714), (32, 0.04505169), (33, 0.13867047), (38, 0.16481261), (42, 0.038699046)]"
28,28,1.0,0.6400749683380127,"[(1, 0.64007497), (17, 0.087061), (18, 0.1505433), (35, 0.03866855), (37, 0.06194863)]"
29,29,20.0,0.3970402181148529,"[(12, 0.08794949), (17, 0.08234896), (20, 0.39704022), (23, 0.23301278), (24, 0.04856481), (25, 0.07853724), (36, 0.05562296)]"
30,30,14.0,0.737782895565033,"[(14, 0.7377829), (33, 0.01907763), (36, 0.22518273)]"
31,31,34.0,0.6341043710708618,"[(1, 0.09845181), (6, 0.056935772), (17, 0.104007244), (30, 0.045008045), (34, 0.6341044), (41, 0.05234773)]"
32,32,38.0,0.38945668935775757,"[(14, 0.1571656), (35, 0.15545587), (37, 0.1068117), (38, 0.3894567), (39, 0.16410299)]"
33,33,19.0,0.35772210359573364,"[(6, 0.15028498), (8, 0.04467085), (12, 0.06573284), (14, 0.05976602), (19, 0.3577221), (27, 0.013115561), (28, 0.030320251), (34, 0.091643415), (36, 0.046711985), (37, 0.05955492), (38, 0.051466186), (44, 0.02298796)]"
34,34,16.0,0.41242876648902893,"[(7, 0.21620232), (16, 0.41242877), (35, 0.104303226), (38, 0.20194319), (43, 0.043940336)]"
35,35,17.0,0.3224153220653534,"[(1, 0.23794703), (9, 0.15591425), (14, 0.12048353), (17, 0.32241532), (41, 0.047745496), (44, 0.09326099)]"
36,36,35.0,0.6122352480888367,"[(6, 0.19457617), (18, 0.15984465), (35, 0.61223525)]"
37,37,42.0,0.34890469908714294,"[(1, 0.12666388), (8, 0.1203823), (24, 0.02881392), (27, 0.15409406), (29, 0.20097224), (42, 0.3489047)]"
38,38,34.0,0.40046635270118713,"[(0, 0.0372492), (6, 0.08212493), (14, 0.10180629), (17, 0.09971638), (29, 0.08275686), (30, 0.028413838), (34, 0.40046635), (35, 0.05088183), (41, 0.10736724)]"
39,39,32.0,0.8133523464202881,"[(32, 0.81335235), (38, 0.09805576), (40, 0.044109702)]"
40,40,14.0,0.5377305746078491,"[(14, 0.5377306), (21, 0.18514428), (27, 0.1454479), (30, 0.0832767), (43, 0.024937412)]"
41,41,9.0,0.2802636921405792,"[(3, 0.06585488), (5, 0.05954342), (9, 0.2802637), (17, 0.06042335), (19, 0.049478862), (28, 0.25812194), (33, 0.095529646), (41, 0.041420728), (43, 0.073636614)]"
42,42,38.0,0.35575157403945923,"[(16, 0.12483043), (18, 0.021390274), (24, 0.0715055), (28, 0.022433508), (30, 0.13001314), (31, 0.022435008), (32, 0.2351829), (38, 0.35575157)]"
43,43,34.0,0.45701032876968384,"[(1, 0.26924703), (6, 0.06025084), (12, 0.17008257), (34, 0.45701033)]"
44,44,9.0,0.5624461770057678,"[(9, 0.5624462), (17, 0.07383653), (30, 0.0630533), (33, 0.0612446), (41, 0.22801028)]"
45,45,14.0,0.18857957422733307,"[(0, 0.16001515), (4, 0.14763686), (14, 0.18857957), (23, 0.12275469), (34, 0.16877243), (36, 0.15218394), (43, 0.033650443)]"
46,46,17.0,0.41960132122039795,"[(0, 0.22757977), (11, 0.09251678), (17, 0.41960132), (31, 0.16045205), (33, 0.036667336), (35, 0.028698219), (40, 0.018539343)]"
47,47,21.0,0.44422242045402527,"[(3, 0.09825425), (11, 0.067597926), (17, 0.25097203), (21, 0.4442224), (44, 0.070445195)]"
48,48,4.0,0.8078600168228149,"[(4, 0.80786), (20, 0.13493), (25, 0.022100182), (43, 0.017912302)]"
49,49,36.0,0.8793882727622986,"[(17, 0.08646058), (36, 0.8793882)]"
50,50,6.0,0.25618019700050354,"[(6, 0.2561802), (7, 0.09398383), (20, 0.15595752), (30, 0.17737368), (36, 0.08939606), (41, 0.15347849), (42, 0.046337932)]"
51,51,42.0,0.2670174837112427,"[(14, 0.030383276), (17, 0.14643627), (23, 0.15213586), (27, 0.052478842), (29, 0.14982827), (34, 0.05467399), (37, 0.047673397), (38, 0.07708249), (42, 0.26701748)]"
52,52,0.0,0.6385980248451233,"[(0, 0.638598), (1, 0.034462992), (6, 0.14100534), (17, 0.09664576), (38, 0.06906802)]"
53,53,27.0,0.7385540008544922,"[(1, 0.056037687), (17, 0.042504136), (20, 0.080916315), (22, 0.04639463), (27, 0.738554)]"
54,54,33.0,0.7770915031433105,"[(6, 0.06390048), (12, 0.051284067), (24, 0.093242556), (33, 0.7770915)]"
55,55,37.0,0.4922383725643158,"[(10, 0.06261312), (20, 0.39648715), (27, 0.027461566), (37, 0.4922384)]"
56,56,10.0,0.4630769193172455,"[(1, 0.035815943), (5, 0.026766952), (7, 0.09131639), (10, 0.46307692), (17, 0.048473217), (23, 0.035462286), (36, 0.06092379), (39, 0.21703985)]"
57,57,9.0,0.5768137574195862,"[(1, 0.052206125), (9, 0.57681376), (18, 0.074207455), (19, 0.12546685), (32, 0.15059502)]"
58,58,22.0,0.5327335596084595,"[(1, 0.1668779), (12, 0.13642466), (22, 0.53273356), (31, 0.13020141)]"
59,59,1.0,0.44246211647987366,"[(1, 0.44246212), (27, 0.121600874), (29, 0.391146), (39, 0.023579169)]"
60,60,29.0,0.5216808319091797,"[(11, 0.059084404), (14, 0.13708659), (17, 0.09406507), (18, 0.14940263), (29, 0.52168083)]"
