,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,6.0,0.21638944745063782,"[(1, 0.0844596), (6, 0.21638945), (10, 0.071012855), (15, 0.0967621), (17, 0.08715297), (19, 0.059213266), (24, 0.11753075), (26, 0.19881234), (27, 0.06272591)]"
1,1,5.0,0.8198479413986206,"[(5, 0.81984794), (22, 0.0231087), (29, 0.14712569)]"
2,2,4.0,0.54801344871521,"[(0, 0.13327679), (4, 0.54801345), (12, 0.08553247), (19, 0.1323178), (22, 0.044091944), (24, 0.04579047)]"
3,3,15.0,0.6139246225357056,"[(3, 0.05099998), (4, 0.020763211), (11, 0.13639775), (13, 0.017226733), (15, 0.6139246), (16, 0.04311019), (25, 0.04846357), (26, 0.06129739)]"
4,4,12.0,0.17242036759853363,"[(1, 0.08125924), (4, 0.07147301), (7, 0.12866867), (9, 0.050296042), (12, 0.17242037), (13, 0.058873903), (16, 0.031186882), (19, 0.07196876), (20, 0.08078157), (22, 0.12284939), (26, 0.11907467)]"
5,5,17.0,0.8044522404670715,"[(1, 0.11286172), (6, 0.034035947), (9, 0.035095736), (17, 0.80445224)]"
6,6,6.0,0.670547604560852,"[(0, 0.0306105), (6, 0.6705476), (9, 0.15180007), (12, 0.09686269), (17, 0.03604423)]"
7,7,26.0,0.891994297504425,"[(4, 0.07113069), (20, 0.027297126), (26, 0.8919943)]"
8,8,1.0,0.5435900688171387,"[(1, 0.54359007), (6, 0.06640587), (18, 0.2554376), (22, 0.04703982), (26, 0.08148086)]"
9,9,18.0,0.6257814764976501,"[(1, 0.019997517), (18, 0.6257815), (24, 0.19899169), (26, 0.1486068)]"
10,10,22.0,0.4282812476158142,"[(12, 0.03115822), (18, 0.22784144), (22, 0.42828125), (25, 0.11598705), (26, 0.18811807)]"
11,11,21.0,0.45429518818855286,"[(0, 0.063693844), (5, 0.15794252), (21, 0.45429522), (22, 0.19029193), (28, 0.11058714)]"
12,12,27.0,0.6234446167945862,"[(2, 0.05471328), (9, 0.029586984), (11, 0.05475841), (13, 0.06980599), (20, 0.022811906), (24, 0.13826054), (27, 0.6234446)]"
13,13,24.0,0.5075287818908691,"[(2, 0.072991915), (5, 0.29664126), (20, 0.10167863), (24, 0.5075288)]"
14,14,6.0,0.7482932209968567,"[(3, 0.11281095), (6, 0.7482932), (19, 0.08985212), (26, 0.032672036)]"
15,15,12.0,0.6212817430496216,"[(12, 0.62128174), (27, 0.18462673), (28, 0.17262836)]"
16,16,21.0,0.7497087717056274,"[(1, 0.07915421), (7, 0.052627686), (21, 0.7497088), (25, 0.101502635)]"
17,17,11.0,0.25610727071762085,"[(11, 0.25610727), (14, 0.05493065), (15, 0.111867726), (16, 0.1384058), (18, 0.0679631), (21, 0.17444266), (28, 0.14123026), (29, 0.037568513)]"
18,18,26.0,0.845961332321167,"[(8, 0.0927845), (12, 0.030046685), (25, 0.018068124), (26, 0.84596133)]"
19,19,3.0,0.2779045104980469,"[(2, 0.098666914), (3, 0.2779045), (5, 0.062568665), (6, 0.11944786), (18, 0.13780378), (22, 0.1726601), (24, 0.1202663)]"
20,20,19.0,0.222905695438385,"[(0, 0.061430935), (1, 0.13207953), (7, 0.097763225), (9, 0.02513218), (17, 0.08943695), (19, 0.2229057), (20, 0.16589533), (25, 0.17949298), (29, 0.016389739)]"
21,21,14.0,0.3359440267086029,"[(11, 0.30970502), (14, 0.33594403), (21, 0.08861805), (25, 0.15129042), (26, 0.103150465)]"
22,22,17.0,0.36804062128067017,"[(2, 0.075417876), (7, 0.07097265), (10, 0.06655691), (17, 0.36804062), (18, 0.09174023), (19, 0.10305043), (22, 0.038638093), (25, 0.025982771), (26, 0.11986846), (27, 0.03239578)]"
23,23,16.0,0.523196280002594,"[(1, 0.01416772), (4, 0.11589785), (6, 0.06442138), (12, 0.032494348), (16, 0.5231963), (17, 0.07085049), (25, 0.16751899)]"
24,24,19.0,0.3207809627056122,"[(1, 0.16565889), (2, 0.12692107), (12, 0.11528023), (13, 0.07435364), (14, 0.016313147), (16, 0.08927945), (19, 0.32078096), (26, 0.082856774)]"
25,25,6.0,0.35436439514160156,"[(3, 0.090752766), (6, 0.3543644), (9, 0.2352856), (18, 0.2998853)]"
26,26,0.0,0.431170254945755,"[(0, 0.43117025), (2, 0.06996659), (7, 0.06897146), (9, 0.20786685), (16, 0.11045128), (28, 0.094870575)]"
27,27,1.0,0.3990860879421234,"[(1, 0.3990861), (2, 0.091075666), (4, 0.07599236), (7, 0.03291632), (14, 0.08895897), (18, 0.113150135), (19, 0.12317216), (27, 0.06296211)]"
28,28,18.0,0.29568082094192505,"[(7, 0.15315917), (8, 0.17189407), (14, 0.07955868), (18, 0.29568082), (21, 0.11197727), (22, 0.17103413)]"
29,29,14.0,0.6940511465072632,"[(1, 0.12126221), (14, 0.69405115), (23, 0.16942784)]"
30,30,18.0,0.6043037176132202,"[(14, 0.09787252), (16, 0.07770031), (18, 0.6043037), (20, 0.09243282), (25, 0.11330755)]"
31,31,20.0,0.7556929588317871,"[(9, 0.07540594), (10, 0.030526595), (12, 0.11896847), (20, 0.75569296), (26, 0.011954019)]"
32,32,26.0,0.4258575141429901,"[(11, 0.073852785), (12, 0.33026856), (19, 0.06271055), (23, 0.088754915), (26, 0.4258575)]"
33,33,26.0,0.5184197425842285,"[(2, 0.044950847), (5, 0.040328115), (12, 0.031515945), (14, 0.15339051), (16, 0.021290148), (19, 0.07038753), (26, 0.51841974), (28, 0.11529242)]"
34,34,3.0,0.1830201894044876,"[(3, 0.18302019), (9, 0.13673274), (13, 0.051813487), (16, 0.15515897), (19, 0.12189711), (24, 0.025554633), (25, 0.09256723), (26, 0.10279745), (27, 0.11696775)]"
35,35,25.0,0.4825153648853302,"[(5, 0.17221083), (6, 0.08863511), (9, 0.115319975), (18, 0.08047748), (25, 0.48251534), (29, 0.04416324)]"
36,36,23.0,0.5221586227416992,"[(5, 0.16624404), (15, 0.11198218), (23, 0.5221586), (28, 0.17614171)]"
37,37,22.0,0.23197174072265625,"[(0, 0.052826926), (1, 0.18890554), (2, 0.11902204), (3, 0.12289086), (8, 0.049614437), (11, 0.14284314), (19, 0.035126146), (22, 0.23197174), (23, 0.040504552)]"
38,38,26.0,0.3115195333957672,"[(2, 0.032602657), (5, 0.027400577), (7, 0.04537275), (10, 0.045792934), (13, 0.026217299), (14, 0.06117745), (16, 0.029871084), (18, 0.046428036), (22, 0.25151664), (25, 0.08374745), (26, 0.31151953), (28, 0.032782674)]"
39,39,27.0,0.3721495270729065,"[(3, 0.22121803), (20, 0.100210615), (25, 0.274243), (27, 0.37214953)]"
40,40,0.0,0.3742162585258484,"[(0, 0.37421626), (10, 0.09046847), (14, 0.070126265), (20, 0.09386663), (26, 0.28447723), (29, 0.06941849)]"
41,41,18.0,0.7406864166259766,"[(6, 0.03488042), (11, 0.06498887), (18, 0.7406864), (26, 0.0885654), (29, 0.057207465)]"
42,42,8.0,0.41978925466537476,"[(8, 0.41978925), (10, 0.10624956), (11, 0.028614914), (25, 0.104611024), (26, 0.32528582)]"
43,43,4.0,0.49090248346328735,"[(1, 0.23933272), (4, 0.49090245), (11, 0.0982866), (19, 0.14049998)]"
44,44,26.0,0.9908753633499146,"[(26, 0.99087536)]"
45,45,26.0,0.5748037695884705,"[(1, 0.08255154), (5, 0.16007993), (7, 0.041653413), (25, 0.121491395), (26, 0.57480377)]"
46,46,5.0,0.46681860089302063,"[(3, 0.13751219), (5, 0.46681863), (10, 0.037730604), (18, 0.026993968), (19, 0.2574595), (25, 0.061165053)]"
47,47,19.0,0.5684918761253357,"[(4, 0.26524585), (5, 0.1062281), (19, 0.5684919)]"
