,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
0,0.0014710142277181149,0.0014710923423990607,0.9867611527442932,0.0014709844253957272,0.0014709129463881254,0.00147085334174335,0.0014709149254485965,0.0014709155075252056,0.001471116323955357,0.0014710392570123076
1,0.9847400784492493,0.0016954763559624553,0.001695516868494451,0.0016954046441242099,0.0016954673919826746,0.0016954095335677266,0.0016954863676801324,0.0016955778701230884,0.001695945393294096,0.0016956547042354941
2,0.001389524433761835,0.00138922780752182,0.9874970316886902,0.001389159238897264,0.001389172044582665,0.00138909334782511,0.0013892482966184616,0.0013891831040382385,0.0013891166308894753,0.0013891971902921796
3,0.0017246126662939787,0.0017245508497580886,0.0017245208146050572,0.0017246203497052193,0.9844799041748047,0.001724295667372644,0.0017245139461010695,0.0017243213951587677,0.0017243146430701017,0.0017243720358237624
4,0.0013516693143174052,0.9878347516059875,0.0013516766484826803,0.0013517099432647228,0.0013518810737878084,0.0013517182087525725,0.0013516406761482358,0.0013516269391402602,0.001351641258224845,0.0013516949256882071
5,0.0017862017266452312,0.0017864491092041135,0.0017863393295556307,0.15652181208133698,0.31501898169517517,0.001786323031410575,0.0017864120891317725,0.21481235325336456,0.3029286861419678,0.0017863997491076589
6,0.0050018224865198135,0.0050020888447761536,0.005003428552299738,0.00500126276165247,0.005000857170671225,0.005001111421734095,0.005001597106456757,0.005000936798751354,0.9549857974052429,0.00500104296952486
7,0.0012823697179555893,0.31754302978515625,0.45838263630867004,0.001282576471567154,0.0012825849698856473,0.0012824175646528602,0.001282443176023662,0.215097114443779,0.0012824343284592032,0.0012823787983506918
8,0.025010032579302788,0.025010978803038597,0.025006715208292007,0.02500385232269764,0.025002505630254745,0.025007285177707672,0.025006653741002083,0.02500295639038086,0.7749457955360413,0.02500326558947563
9,0.002041426720097661,0.002041536383330822,0.0020415305625647306,0.002041428815573454,0.002041398547589779,0.0020411526784300804,0.002041350584477186,0.002041782485321164,0.002041257917881012,0.9816271066665649
10,0.0010641163680702448,0.0010640978580340743,0.0010640625841915607,0.9904232025146484,0.0010641432600095868,0.0010641334811225533,0.0010641166009008884,0.0010640639811754227,0.0010640661930665374,0.001063993200659752
11,0.002273298567160964,0.002273228717967868,0.0022732282523065805,0.0022734710946679115,0.002273284364491701,0.002273313933983445,0.0022732741199433804,0.9795403480529785,0.0022732987999916077,0.002273301361128688
12,0.0018874587258324027,0.0018874736269935966,0.0018875061068683863,0.43344739079475403,0.001887397258542478,0.0018872482469305396,0.0018873193766921759,0.5514532923698425,0.0018873716471716762,0.001887566177174449
13,0.0009525679051876068,0.0009526481735520065,0.0009525718633085489,0.0009527548681944609,0.0009525847854092717,0.9914265871047974,0.000952566449996084,0.0009525935165584087,0.0009525694767944515,0.0009525687783025205
14,0.001299078343436122,0.3796989321708679,0.0012990135001018643,0.6099084615707397,0.0012990928953513503,0.0012991356197744608,0.0012989473761990666,0.0012991444673389196,0.0012991185067221522,0.0012990456307306886
15,0.0022229431197047234,0.0022230790928006172,0.002222971059381962,0.0022231328766793013,0.0022227922454476357,0.0022230413742363453,0.0022226469591259956,0.5932117700576782,0.3890046775341034,0.0022229880560189486
16,0.5852417945861816,0.002501066541299224,0.0025008171796798706,0.3947523832321167,0.0025007110089063644,0.0025006127543747425,0.0025004593189805746,0.00250068586319685,0.0025007121730595827,0.0025007263757288456
